Region,Month,Yr2014,Yr2015,Yr2016
Africa,1,11761,11589,11825
Africa,2,8975,8860,10286
Africa,3,12476,12900,14998
Africa,4,16202,15098,14457
Africa,5,11755,12338,12855
Africa,6,11302,11770,12098
Africa,7,12426,13026,14604
Africa,8,15863,14801,15846
Africa,9,13080,13608,12793
Africa,10,13930,13608,13894
Africa,11,13172,12365,13235
Africa,12,23533,22811,25071
Americas,1,121003,121283,137924
Americas,2,97737,109896,127242
Americas,3,100548,111788,130112
Americas,4,90535,98869,107349
Americas,5,77712,91121,103861
Americas,6,70252,90487,103335
Americas,7,79103,95821,108519
Americas,8,68760,76489,83958
Americas,9,66664,98434,83152
Americas,10,90863,98434,106492
Americas,11,105350,123942,144750
Americas,12,131182,144527,168917
ASEAN,1,416820,586095,646833
ASEAN,2,437269,563927,672561
ASEAN,3,505648,639947,717634
ASEAN,4,539183,651714,712668
ASEAN,5,527748,695168,741764
ASEAN,6,482304,699993,722209
ASEAN,7,566395,699796,775053
ASEAN,8,552066,638795,715034
ASEAN,9,562961,625586,712401
ASEAN,10,610960,625586,666162
ASEAN,11,645177,689201,698866
ASEAN,12,795241,846664,876866
EstAsia,1,662155,922890,1197961
EstAsia,2,605793,1140271,1358063
EstAsia,3,550896,993184,1204569
EstAsia,4,581468,1009463,1120450
EstAsia,5,541292,976536,1040352
EstAsia,6,429924,955152,1059397
EstAsia,7,626108,1150668,1259314
EstAsia,8,797740,1206150,1331240
EstAsia,9,706072,856439,1006452
EstAsia,10,792067,856439,765790
EstAsia,11,810973,941288,749778
EstAsia,12,857565,1014698,913013
Europe,1,849006,724552,748065
Europe,2,750669,644511,714962
Europe,3,640704,560964,632223
Europe,4,469177,390480,431534
Europe,5,286556,276764,309007
Europe,6,276386,271791,298702
Europe,7,388120,409042,450259
Europe,8,382656,387104,437962
Europe,9,286616,404808,313290
Europe,10,436195,404808,447962
Europe,11,620038,563201,608558
Europe,12,775770,721972,777957
MidEast,1,42365,55461,61032
MidEast,2,35644,41506,45953
MidEast,3,44509,57990,60400
MidEast,4,48303,48858,59588
MidEast,5,41759,47467,48310
MidEast,6,34747,31970,25788
MidEast,7,46061,80678,109337
MidEast,8,90154,79455,86957
MidEast,9,50501,47007,75621
MidEast,10,61660,47007,60833
MidEast,11,46900,46247,50884
MidEast,12,55289,55136,62432
Oceania,1,87598,80957,77485
Oceania,2,61272,60058,59630
Oceania,3,67567,71631,71197
Oceania,4,93540,79557,75986
Oceania,5,66570,65758,65577
Oceania,6,78787,83522,81458
Oceania,7,86172,88176,89630
Oceania,8,71478,71983,73793
Oceania,9,82646,82316,78815
Oceania,10,84957,82316,77283
Oceania,11,72298,73744,69572
Oceania,12,89821,84727,85385
SoAsia,1,91860,107314,120202
SoAsia,2,77945,94621,100179
SoAsia,3,95660,106958,117557
SoAsia,4,96433,113419,121219
SoAsia,5,117468,136544,154779
SoAsia,6,107598,124876,130268
SoAsia,7,91713,120786,139570
SoAsia,8,106122,114875,129630
SoAsia,9,100951,117643,125048
SoAsia,10,117143,117643,117710
SoAsia,11,111215,116089,118552
SoAsia,12,125075,133756,148159
